Variety,Clade,Nutrient,Soil,Replicate (1-4),Random ID,Stem_width,Shoot_length,Initial_shoot_Length,initial_Nodes,Tubermass ,Biomass_shoots,Biomass_Roots ,Sterile_avg,Rel_shoot,Rel_tubers
P. Cacho,Chil,High,Sterile,1,52,6.79,50,7,,30.65,19.52,8.66,,,
Cor C.95,Chil,High,Sterile,1,59,9.45,55,8.5,6,,42.37,33.02,,,
P. Cacho,Chil,High,Sterile,4,100,7.3,52,8.5,8,22.34,26.68,21.16,,,
Garnet,Chil,High,Sterile,3,145,7.72,22,7,7,99.51,2.39,1.35,,,
Cor C.56,Chil,High,Sterile,3,154,8.34,34,10,11,29.54,33.33,7.78,,,
Cor C.56,Chil,High,Sterile,1,196,7.62,35,11,12,74.15,38.24,7.91,,,
Garnet,Chil,High,Sterile,4,223,10.18,28,10.5,9,,36.58,10.62,,,
Cor C. 135,Chil,High,Sterile,4,241,6.36,38,10,14,11.12,27.39,8.48,,,
Cor C.95,Chil,High,Sterile,4,251,7.65,49,9.5,7,,37.22,58.72,,,
Cor C. 135,Chil,High,Sterile,3,255,5.69,26,11.5,7,71.99,16.86,2.06,,,
Cor C.95,Chil,High,Sterile,2,271,7.87,33,10,9,,16.12,20.01,,,
P. Cacho,Chil,High,Sterile,3,277,6.48,50,6,6,67.45,20.44,11.12,,,
Cor C.56,Chil,High,Sterile,2,313,8.14,31,11,10,136.07,29.09,10.1,,,
Cor C. 135,Chil,High,Sterile,1,330,5.78,41,12.5,6,23.44,30.81,3.2,,,
Cor C.95,Chil,High,Sterile,3,333,8.95,50,12,10,,34.7,13.96,,,
Garnet,Chil,High,Sterile,1,348,7.72,33,4.5,9,,21.53,6.27,,,
Garnet,Chil,High,Sterile,2,360,10.91,34,11,12,100.8,17.05,3.29,,,
Garnet,Chil,High,Virgin,2,37,12.29,46,8,7,81.77,42.14,5.41,,,
P. Cacho,Chil,High,Virgin,1,56,7.31,55,7.5,7,18.94,16.99,8.12,,,
Cor C.95,Chil,High,Virgin,3,60,9.68,50,8,7,,38.17,20.92,,,
Cor C.56,Chil,High,Virgin,4,68,7.51,40,8,5,4.19,38.89,4.59,,,
P. Cacho,Chil,High,Virgin,4,123,6.99,42,9.5,10,49.96,28.28,12.97,,,
Cor C.95,Chil,High,Virgin,2,160,4.43,55,8,6,,44.49,26.14,,,
Garnet,Chil,High,Virgin,4,163,11.44,44,6.5,9,80.57,42.35,4.34,,,
Cor C.95,Chil,High,Virgin,1,177,8.92,51,10,6,,47.66,22.78,,,
Cor C. 135,Chil,High,Virgin,1,203,4.35,37,11,8,53.95,23.63,5.41,,,
Garnet,Chil,High,Virgin,1,221,6.71,36,6.5,8,148.48,28.45,4.08,,,
Cor C.56,Chil,High,Virgin,3,278,8.16,30,7,6,76.96,27.04,5.94,,,
Cor C.56,Chil,High,Virgin,1,328,7,34,11,10,40.42,33,5.48,,,
Cor C.95,Chil,High,Virgin,4,329,8.52,47,12.5,7,,42.82,9.99,,,
P. Cacho,Chil,High,Virgin,2,350,6.83,55,10.5,8,157.52,19.58,2.49,,,
Cor C. 135,Chil,High,Virgin,4,386,6.03,40,10,17,90.56,14.84,2.79,,,
Cor C. 135,Chil,High,Virgin,2,402,4.68,38,11,7,101.84,14.75,0.73,,,
Cor C. 135,Chil,Low,Hancock,3,23,5.51,49,12,6,,9.95,2.05,,,
Garnet,Chil,Low,Hancock,2,32,8.62,46,7,4,92.08,4.74,1.08,,,
Cor C.95,Chil,Low,Hancock,3,36,6.83,55,8.5,6,30.26,7.92,6.92,,,
Cor C.95,Chil,Low,Hancock,4,41,6.35,47,11.5,8,,8.81,2.42,,,
Cor C. 135,Chil,Low,Hancock,1,66,6.13,44,12,6,34.45,5,2.25,,,
Garnet,Chil,Low,Hancock,1,74,7.4,21,6,6,85.48,5.17,0.94,,,
Cor C.95,Chil,Low,Hancock,1,76,8.17,25,11,8,19.64,7.22,5.19,,,
P. Cacho,Chil,Low,Hancock,1,82,5.32,50,9,6,66.62,5.18,1.25,,,
Cor C. 135,Chil,Low,Hancock,4,128,4.48,39,10,9,15.77,3.71,0.35,,,
P. Cacho,Chil,Low,Hancock,2,141,6.37,52,10,8,100.78,7.41,0.95,,,
Cor C.95,Chil,Low,Hancock,2,175,6.23,45,12,6,96.12,6.79,2.11,,,
Cor C.56,Chil,Low,Hancock,2,191,7.77,34,11,9,59.84,4,1.53,,,
Garnet,Chil,Low,Hancock,4,201,6.41,34,5,8,81.04,3,0.75,,,
Cor C.56,Chil,Low,Hancock,3,225,7.66,26,8.5,5,81.3,4.41,2.73,,,
P. Cacho,Chil,Low,Hancock,3,359,6.51,50,9,7,100.8,7.44,1.16,,,
Cor C.56,Chil,Low,Hancock,1,406,8.52,35,11.5,9,94.05,8.88,2.14,,,
Cor C.95,Chil,Low,Sterile,2,10,4.46,34,8,5,18.35,3.54,1.12,,,
Garnet,Chil,Low,Sterile,1,38,5.29,23,8,20,47.93,1.71,0.48,,,
Garnet,Chil,Low,Sterile,3,69,4.65,28,6.5,23,45.37,1.99,0.76,,,
Cor C.95,Chil,Low,Sterile,3,102,3.05,24,9.5,8,45.34,3.03,3.54,,,
Garnet,Chil,Low,Sterile,2,118,8.02,33,9,7,90.73,2.23,1.22,,,
Cor C. 135,Chil,Low,Sterile,4,127,3.17,33,14,12,11.96,1.88,0.32,,,
Cor C.56,Chil,Low,Sterile,4,138,7.07,50,6.5,5,30.5,9.77,2.6,,,
Cor C. 135,Chil,Low,Sterile,3,212,5.16,28,14,9,39.38,2.48,2.1,,,
Cor C.95,Chil,Low,Sterile,1,279,7.27,36,12.5,10,83.4,5.08,2.84,,,
Cor C.56,Chil,Low,Sterile,1,294,6.22,26,10,10,95.06,4.82,1.56,,,
Cor C. 135,Chil,Low,Sterile,2,318,4.66,43,11,18,29.05,3.31,0.5,,,
P. Cacho,Chil,Low,Sterile,1,325,6.23,50,5.5,6,90.75,5.48,2.59,,,
P. Cacho,Chil,Low,Sterile,4,327,7.19,42,7.5,7,88.36,6.18,1.56,,,
P. Cacho,Chil,Low,Sterile,2,369,7.39,46,7,9,102.25,5.67,1.25,,,
Cor C.56,Chil,Low,Sterile,2,378,7.89,39,11,7,68.78,6.85,2.96,,,
Cor C.95,Chil,Low,Sterile,4,393,7.59,46,13,7,81.54,9.44,7.73,,,
Garnet,Chil,Low,Sterile,4,394,8.67,33,9.5,9,150.91,7.03,1.73,,,
P. Cacho,Chil,Low,Sterile,3,404,6.7,47,8,6,89.81,2.72,1.17,,,
Garnet,Chil,Low,Virgin,1,20,5.06,28,5,6,75.02,2.03,1.2,,,
Cor C. 135,Chil,Low,Virgin,1,58,3.65,32,11,6,9.76,3.13,0.85,,,
Cor C.56,Chil,Low,Virgin,2,81,4.91,28,9.5,6,30.2,3.19,1.92,,,
P. Cacho,Chil,Low,Virgin,4,95,5,45,7.5,9,86.24,5.68,2.06,,,
Garnet,Chil,Low,Virgin,2,105,3.26,22,7,9,73.13,2.15,1.3,,,
Garnet,Chil,Low,Virgin,3,115,7.65,46,5,8,70.45,2.76,1.16,,,
Cor C.95,Chil,Low,Virgin,3,124,5.47,42,10.5,7,59.62,5.07,2.35,,,
Cor C.56,Chil,Low,Virgin,1,130,6.55,37,7,7,47.77,5.63,2.75,64.78,,
Cor C. 135,Chil,Low,Virgin,2,146,2.48,25,10,11,16.23,2.9,0.85,,,
Cor C.56,Chil,Low,Virgin,4,187,6.56,29,8,6,84.02,5.55,3.81,,,
Cor C.95,Chil,Low,Virgin,4,188,7.12,38,11,5,116.25,5.98,6.63,,,
Cor C.95,Chil,Low,Virgin,1,264,5.32,37,8.5,6,59.35,3.53,1.89,,,
Cor C. 135,Chil,Low,Virgin,3,287,3.79,24,11.5,16,96.69,3.03,1.45,,,
Cor C.56,Chil,Low,Virgin,3,315,5.82,24,9,9,72.15,3.36,4.31,,,
Garnet,Chil,Low,Virgin,4,336,5.99,24,5,7,125.37,4.15,2,,,
P. Cacho,Chil,Low,Virgin,3,339,5.83,42,9.5,7,118.65,5.14,1.51,,,
Cor C.95,Chil,Low,Virgin,2,346,6.35,43,9,7,49.96,7.82,4.2,,,
Cor C. 135,Chil,Low,Virgin,4,371,3.31,29,11,12,36.38,4.4,0.58,,,
Ranger,Elite,High,Hancock,2,35,9.34,34,7,7,143.21,23.94,1.89,,,
Norkodah,Elite,High,Hancock,2,39,7.63,28,11,10,119,10.84,1.06,,,
Burbank,Elite,High,Hancock,4,113,9.07,42,11.5,8,113.55,34.62,5.85,,,
Burbank,Elite,High,Hancock,1,131,9.17,43,7,6,124.32,22.47,7.37,,,
Snowden,Elite,High,Hancock,1,168,7.48,20,10,7,123.83,20.12,8.84,,,
Snowden,Elite,High,Hancock,3,258,8.11,22,10.5,11,177,20.9,5.31,26.79666667,,
Ranger,Elite,High,Hancock,4,298,9.15,33,8.5,4,83.2,7.29,0.43,,,
Burbank,Elite,High,Hancock,2,309,9.13,30,8,7,174.46,13.58,8.62,,,
Burbank,Elite,High,Hancock,3,323,8.59,34,9,7,102.34,12.35,4.47,,,
Snowden,Elite,High,Hancock,2,384,9.97,28,11,10,55.14,21.88,6.82,,,
Snowden,Elite,High,Sterile,2,1,9.53,32,14,10,10.66,20.24,3.74,,,
Ranger,Elite,High,Sterile,1,63,13.08,27,7,5,137.78,21.09,4.13,,,
Norkodah,Elite,High,Sterile,3,86,7.84,29,10.5,11,112.25,7.37,1.28,,,
Burbank,Elite,High,Sterile,3,142,8.19,39,9,6,137.02,21.64,7.81,,,
Ranger,Elite,High,Sterile,2,162,10.17,25,7,6,198.56,17.79,3.45,,,
Norkodah,Elite,High,Sterile,2,200,7.46,34,12,10,99.19,4,1.07,35.51666667,,
Burbank,Elite,High,Sterile,4,243,7.91,39,10.5,13,191.05,19.27,7.32,,,
Snowden,Elite,High,Sterile,3,275,9.03,28,9,10,77.9,21.41,4.79,,,
Ranger,Elite,High,Sterile,3,299,9.05,24,7.5,6,118.12,9.64,1.55,,,
Snowden,Elite,High,Sterile,1,321,8.57,25,13,10,140.02,16.51,9,,,
Burbank,Elite,High,Sterile,1,347,8.79,33,8,9,100.95,13.79,4.11,,,
Norkodah,Elite,High,Sterile,4,365,7.8,27,14,9,115.09,9.81,0.62,,,
Snowden,Elite,High,Sterile,4,395,8.09,29,11.5,7,85.04,24.69,5.68,,,
Burbank,Elite,High,Sterile,2,407,9.21,33,7,6,162.18,19.75,5.72,,,
Ranger,Elite,High,Virgin,1,12,8.59,24,12.5,8,181.68,17.66,3.14,,,
Burbank,Elite,High,Virgin,3,30,9.08,49,9.5,8,45.98,39.71,9.67,,,
Norkodah,Elite,High,Virgin,2,57,7.71,26,13,7,128.8,8.48,0.89,,,
Snowden,Elite,High,Virgin,1,73,7.31,23,14,13,67.48,18.8,8.08,,,
Burbank,Elite,High,Virgin,4,114,9.82,40,9.5,10,161.11,29.56,4.78,,,
Ranger,Elite,High,Virgin,4,120,10.71,42,7.5,8,193.56,15.96,2.12,,,
Burbank,Elite,High,Virgin,1,132,7.96,34,8,9,142.23,22.81,11.09,,,
Ranger,Elite,High,Virgin,2,136,7.73,25,8,7,228.93,20.69,2.17,,,
Snowden,Elite,High,Virgin,4,186,7.95,30,9.5,12,149.13,21.17,6.24,,,
Norkodah,Elite,High,Virgin,4,197,8.88,30,15,9,167,12.56,0.72,,,
Norkodah,Elite,High,Virgin,3,209,6.67,22,14,8,,34.76,3.16,,,
Ranger,Elite,High,Virgin,3,247,9.83,15,6.5,6,180.09,6.86,1.09,,,
Burbank,Elite,High,Virgin,2,343,8.1,38,9,8,156.24,16.51,7.6,,,
Norkodah,Elite,High,Virgin,1,364,9.44,34,15,8,202.1,12.22,0.84,,,
Snowden,Elite,High,Virgin,2,366,7.8,29,11.5,8,100.3,29.98,9.91,,,
Snowden,Elite,High,Virgin,3,387,8.82,25,6.5,12,,24.45,9.52,,,
Ranger,Elite,Low,Hancock,1,51,6.59,15,11,6,44.27,1.45,0.37,,,
Ranger,Elite,Low,Hancock,3,90,7.92,18,6,4,46.76,2.01,0.45,,,
Burbank,Elite,Low,Hancock,4,91,6.99,30,6,8,84.11,2.6,0.86,,,
Ranger,Elite,Low,Hancock,4,96,7.78,20,8.5,6,62.21,1.51,0.55,,,
Snowden,Elite,Low,Hancock,1,165,8.2,26,10,7,60.92,3.89,2.31,,,
Snowden,Elite,Low,Hancock,3,199,5.69,17,11,9,86.77,2.16,1.01,,,
Norkodah,Elite,Low,Hancock,3,213,6.44,13,12,7,94.5,2.1,1.23,,,
Burbank,Elite,Low,Hancock,1,219,5.16,28,8,6,103.03,2.1,0.81,,,
Snowden,Elite,Low,Hancock,2,236,5.58,12,9.5,9,67.47,1.21,0.66,,,
Ranger,Elite,Low,Hancock,2,282,7.3,15,6.5,9,52.94,1.75,52.01,,,
Burbank,Elite,Low,Hancock,2,331,6.97,25,8.5,6,84.91,2.88,0.71,,,
Norkodah,Elite,Low,Hancock,4,345,6.84,17,11,9,63.84,3.4,0.35,,,
Norkodah,Elite,Low,Hancock,2,358,7.66,23,12.5,10,70.77,2.93,0.24,,,
Norkodah,Elite,Low,Sterile,1,79,4.11,24,11,9,51.87,0.92,0.56,,,
Norkodah,Elite,Low,Sterile,2,108,4.3,11,10,7,56.59,0.57,0.23,,,
Ranger,Elite,Low,Sterile,3,133,7.72,18,7,5,70.37,2.32,2.11,,,
Snowden,Elite,Low,Sterile,3,137,6.53,23,9,6,64.75,1.98,1.91,,,
Ranger,Elite,Low,Sterile,1,152,5.58,15,8,4,39.26,1.43,0.42,,,
Snowden,Elite,Low,Sterile,4,183,9.2,56,11,5,45.32,1.29,0.57,,,
Burbank,Elite,Low,Sterile,1,198,5.19,24,10.5,10,83.16,2.86,0.72,,,
Snowden,Elite,Low,Sterile,1,226,5.59,18,12,11,60.15,1.29,0.51,,,
Norkodah,Elite,Low,Sterile,3,228,4.13,12,11,10,55.9,0.97,0.47,,,
Snowden,Elite,Low,Sterile,2,237,6.43,12,11,9,76.16,1.81,1.37,,,
Burbank,Elite,Low,Sterile,3,248,6.25,20,10.5,8,97.09,2.74,1.31,,,
Burbank,Elite,Low,Sterile,2,261,4.57,25,9.5,10,66.5,2.03,0.49,,,
Ranger,Elite,Low,Sterile,4,291,4.93,13,7,5,80.36,2.22,0.83,,,
Ranger,Elite,Low,Sterile,2,302,5.95,15,5,5,60.85,1.72,0.76,,,
Burbank,Elite,Low,Sterile,4,403,6.46,30,8.5,9,60.64,3.02,0.27,,,
Snowden,Elite,Low,Virgin,4,94,4.35,24,10,8,83.82,2.47,1.86,,,
Snowden,Elite,Low,Virgin,2,106,4.42,24,9,15,48.69,1.8,0.91,,,
Snowden,Elite,Low,Virgin,1,107,4.26,21,9.5,13,50.61,1.58,1.53,,,
Burbank,Elite,Low,Virgin,1,140,3.59,52,7.5,9,60.94,2.93,1.6,,,
Ranger,Elite,Low,Virgin,3,144,5.28,17,10.5,5,39.2,1.81,0.32,,,
Norkodah,Elite,Low,Virgin,4,170,6.07,19,11.5,8,81.82,2.13,0.29,,,
Norkodah,Elite,Low,Virgin,2,173,5.38,25,13,9,82.55,1.7,0.5,,,
Ranger,Elite,Low,Virgin,4,195,4.26,18,8,7,68.95,1.56,0.66,,,
Snowden,Elite,Low,Virgin,3,208,6.7,33,8.5,10,56.67,1.58,0.35,,,
Ranger,Elite,Low,Virgin,2,235,6.25,12,7.5,4,40.89,1.25,0.4,,,
Burbank,Elite,Low,Virgin,3,246,7.68,23,8.5,8,94.82,2.51,1.44,,,
Norkodah,Elite,Low,Virgin,1,254,4.72,18,15.5,9,62.93,1.63,,,,
Burbank,Elite,Low,Virgin,4,272,5.53,28,10.5,8,80.51,2.75,0.76,,,
Norkodah,Elite,Low,Virgin,3,354,6.67,25,14.5,7,81.36,1.92,0.31,,,
Burbank,Elite,Low,Virgin,2,380,4.32,28,10.5,9,,2.41,1.27,,,
