Variety,variety2,Clade,agerank,agerank2,agerank3,Nutrient,soil,rep,sample_ID,sunlight,Notes:,tubermass ,shoot,root,root:shoot,root:shoot_2,total_biomass
Cor C. 135-15,Cor C 135,chil,3,3,2,High,Hancock,3,80,1,,13.22,15.64,2.95,0.188618926,0.102217602,31.81
Cor C.56-18,Cor C56,chil,3,3,2,Low,Virgin,2,81,1,,30.2,3.19,1.92,0.601880878,0.057502246,35.31
P. Cacho-9,P. Cacho,chil,3,3,2,Low,Hancock,1,82,1,,66.62,5.18,1.25,0.241312741,0.017409471,73.05
P. Cacho-20,P. Cacho,chil,3,3,2,Low,Virgin,4,95,1,,86.24,5.68,2.06,0.362676056,0.022410792,93.98
P. Cacho-8,P. Cacho,chil,3,3,2,High,Sterile,4,100,2,,22.34,26.68,21.16,0.793103448,0.431660547,70.18
Cor C.95-3,Cor C95,chil,3,3,2,Low,Sterile,3,102,2,,45.34,3.03,3.54,1.168316832,0.073185859,51.91
P. Cacho-24,P. Cacho,chil,3,3,2,High,Virgin,4,123,2,,49.96,28.28,12.97,0.458628006,0.165771984,91.21
Cor C.95-19,Cor C95,chil,3,3,2,Low,Virgin,3,124,2,,59.62,5.07,2.35,0.463510848,0.036327098,67.04
Cor C. 135-4,Cor C 135,chil,3,3,2,Low,Sterile,4,127,2,,11.96,1.88,0.32,0.170212766,0.023121387,14.16
Cor C. 135-12,Cor C 135,chil,3,3,2,Low,Hancock,4,128,2,,15.77,3.71,0.35,0.094339623,0.017967146,19.83
Cor C.56-17,Cor C56,chil,3,3,2,Low,Virgin,1,130,2,,47.77,5.63,2.75,0.488454707,0.051498127,56.15
Cor C.56-4,Cor C56,chil,3,3,2,Low,Sterile,4,138,2,,30.5,9.77,2.6,0.266120778,0.064564192,42.87
P. Cacho-10,P. Cacho,chil,3,3,2,Low,Hancock,2,141,2,,100.78,7.41,0.95,0.128205128,0.008780849,109.14
Cor C.56-16,Cor C56,chil,3,3,2,High,Hancock,4,143,2,,82.8,53.2,11.04,0.207518797,0.081176471,147.04
Cor C. 135-18,Cor C 135,chil,3,3,2,Low,Virgin,2,146,2,,16.23,2.9,0.85,0.293103448,0.044432828,19.98
Cor C.95-16,Cor C95,chil,3,3,2,High,Hancock,4,150,2,,0,44.45,28.04,0.630821147,0.630821147,72.49
Cor C.56-7,Cor C56,chil,3,3,2,High,Sterile,3,154,2,,29.54,33.33,7.78,0.233423342,0.123747415,70.65
Cor C.95-22,Cor C95,chil,3,3,2,High,Virgin,2,160,2,Flowering,0,44.49,26.14,0.587547764,0.587547764,70.63
Cor C.95-10,Cor C95,chil,3,3,2,Low,Hancock,2,175,3,,96.12,6.79,2.11,0.310751105,0.020503352,105.02
Cor C.95-21,Cor C95,chil,3,3,2,High,Virgin,1,177,3,,0,47.66,22.78,0.477968947,0.477968947,70.44
Cor C. 135-16,Cor C 135,chil,3,3,2,High,Hancock,4,182,3,,29.44,15.88,3.31,0.208438287,0.073036187,48.63
Cor C.56-20,Cor C56,chil,3,3,2,Low,Virgin,4,187,3,,84.02,5.55,3.81,0.686486486,0.042536564,93.38
Cor C.95-20,Cor C95,chil,3,3,2,Low,Virgin,4,188,3,,116.25,5.98,6.63,1.108695652,0.054242003,128.86
Cor C.56-10,Cor C56,chil,3,3,2,Low,Hancock,2,191,3,,59.84,4,1.53,0.3825,0.023966165,65.37
Cor C.56-5,Cor C56,chil,3,3,2,High,Sterile,1,196,3,,74.15,38.24,7.91,0.206851464,0.070379927,120.3
Cor C. 135-21,Cor C 135,chil,3,3,2,High,Virgin,1,203,3,,53.95,23.63,5.41,0.228946255,0.069734468,82.99
Cor C. 135-3,Cor C 135,chil,3,3,2,Low,Sterile,3,212,3,,39.38,2.48,2.1,0.846774194,0.050167224,43.96
Cor C.56-15,Cor C56,chil,3,3,2,High,Hancock,3,224,3,,51.25,36.87,20.56,0.557634934,0.233318202,108.68
Cor C.56-11,Cor C56,chil,3,3,2,Low,Hancock,3,225,3,,81.3,4.41,2.73,0.619047619,0.031851593,88.44
Cor C. 135-8,Cor C 135,chil,3,3,2,High,Sterile,4,241,3,,11.12,27.39,8.48,0.309602045,0.220202545,46.99
Cor C.95-13,Cor C95,chil,3,3,2,High,Hancock,1,244,3,,0,46.57,16.63,0.357096843,0.357096843,63.2
Cor C.95-8,Cor C95,chil,3,3,2,High,Sterile,4,251,3,,0,37.22,58.72,1.577646427,1.577646427,95.94
Cor C. 135-7,Cor C 135,chil,3,3,2,High,Sterile,3,255,3,,71.99,16.86,2.06,0.122182681,0.023185144,90.91
Cor C.95-17,Cor C95,chil,3,3,2,Low,Virgin,1,264,3,,59.35,3.53,1.89,0.535410765,0.030057252,64.77
Cor C.95-14,Cor C95,chil,3,3,2,High,Hancock,2,266,4,,0,55.85,44.26,0.792479857,0.792479857,100.11
Cor C.95-6,Cor C95,chil,3,3,2,High,Sterile,2,271,4,,0,16.12,20.01,1.241315136,1.241315136,36.13
P. Cacho-7,P. Cacho,chil,3,3,2,High,Sterile,3,277,4,,67.45,20.44,11.12,0.544031311,0.126521789,99.01
Cor C.56-23,Cor C56,chil,3,3,2,High,Virgin,3,278,4,,76.96,27.04,5.94,0.219674556,0.057115385,109.94
Cor C.95-1,Cor C95,chil,3,3,2,Low,Sterile,1,279,4,,83.4,5.08,2.84,0.559055118,0.032097649,91.32
Cor C. 135-19,Cor C 135,chil,3,3,2,Low,Virgin,3,287,4,,96.69,3.03,1.45,0.478547855,0.014540714,101.17
Cor C.56-1,Cor C56,chil,3,3,2,Low,Sterile,1,294,4,,95.06,4.82,1.56,0.323651452,0.015618742,101.44
Cor C.56-6,Cor C56,chil,3,3,2,High,Sterile,2,313,4,,136.07,29.09,10.1,0.34719835,0.061152822,175.26
Cor C.56-19,Cor C56,chil,3,3,2,Low,Virgin,3,315,4,,72.15,3.36,4.31,1.282738095,0.057078533,79.82
P. Cacho-16,P. Cacho,chil,3,3,2,High,Hancock,4,317,4,,116.85,26.13,4.18,0.159969384,0.029234858,147.16
Cor C. 135-2,Cor C 135,chil,3,3,2,Low,Sterile,2,318,4,,29.05,3.31,0.5,0.151057402,0.015451174,32.86
P. Cacho-1,P. Cacho,chil,3,3,2,Low,Sterile,1,325,4,,90.75,5.48,2.59,0.472627737,0.026914684,98.82
P. Cacho-4,P. Cacho,chil,3,3,2,Low,Sterile,4,327,4,,88.36,6.18,1.56,0.252427184,0.016500952,96.1
Cor C.56-21,Cor C56,chil,3,3,2,High,Virgin,1,328,4,,40.42,33,5.48,0.166060606,0.074639063,78.9
Cor C.95-24,Cor C95,chil,3,3,2,High,Virgin,4,329,4,,0,42.82,9.99,0.233302195,0.233302195,52.81
Cor C. 135-5,Cor C 135,chil,3,3,2,High,Sterile,1,330,4,,23.44,30.81,3.2,0.103862382,0.058986175,57.45
Cor C.95-7,Cor C95,chil,3,3,2,High,Sterile,3,333,4,,0,34.7,13.96,0.402305476,0.402305476,48.66
P. Cacho-19,P. Cacho,chil,3,3,2,Low,Virgin,3,339,5,,118.65,5.14,1.51,0.293774319,0.012198077,125.3
Cor C.95-15,Cor C95,chil,3,3,2,High,Hancock,3,344,5,,32.45,36.34,17.06,0.469455146,0.248001163,85.85
Cor C.95-18,Cor C95,chil,3,3,2,Low,Virgin,2,346,5,,49.96,7.82,4.2,0.537084399,0.072689512,61.98
P. Cacho-22,P. Cacho,chil,3,3,2,High,Virgin,2,350,5,,157.52,19.58,2.49,0.127170582,0.014059853,179.59
P. Cacho-11,P. Cacho,chil,3,3,2,Low,Hancock,3,359,5,,100.8,7.44,1.16,0.155913978,0.010716925,109.4
P. Cacho-2,P. Cacho,chil,3,3,2,Low,Sterile,2,369,5,,102.25,5.67,1.25,0.220458554,0.011582654,109.17
Cor C. 135-20,Cor C 135,chil,3,3,2,Low,Virgin,4,371,5,,36.38,4.4,0.58,0.131818182,0.014222658,41.36
Cor C.56-2,Cor C56,chil,3,3,2,Low,Sterile,2,378,5,,68.78,6.85,2.96,0.432116788,0.039137908,78.59
Cor C. 135-24,Cor C 135,chil,3,3,2,High,Virgin,4,386,5,,90.56,14.84,2.79,0.188005391,0.026470588,108.19
Cor C.95-4,Cor C95,chil,3,3,2,Low,Sterile,4,393,5,,81.54,9.44,7.73,0.818855932,0.084963728,98.71
Cor C. 135-22,Cor C 135,chil,3,3,2,High,Virgin,2,402,5,,101.84,14.75,0.73,0.049491525,0.006261257,117.32
P. Cacho-3,P. Cacho,chil,3,3,2,Low,Sterile,3,404,5,,89.81,2.72,1.17,0.430147059,0.012644548,93.7
Cor C.56-9,Cor C56,chil,3,3,2,Low,Hancock,1,406,5,,94.05,8.88,2.14,0.240990991,0.020790829,105.07
Garnet-17,Garnet,chil,4,3,1,Low,Virgin,1,20,1,,75.02,2.03,1.2,0.591133005,0.015574302,78.25
Garnet-10,Garnet,chil,4,3,1,Low,Hancock,2,32,1,,13.22,4.74,1.08,0.227848101,0.06013363,19.04
Garnet-22,Garnet,chil,4,3,1,High,Virgin,2,37,1,,30.26,42.14,5.41,0.128381585,0.074723757,77.81
Garnet-1,Garnet,chil,4,3,1,Low,Sterile,1,38,1,,81.77,1.71,0.48,0.280701754,0.00574988,83.96
Garnet-3,Garnet,chil,4,3,1,Low,Sterile,3,69,1,,45.37,1.99,0.76,0.381909548,0.016047297,48.12
Garnet-9,Garnet,chil,4,3,1,Low,Hancock,1,74,1,,85.48,5.17,0.94,0.181818182,0.010369553,91.59
Garnet-18,Garnet,chil,4,3,1,Low,Virgin,2,105,2,,73.13,2.15,1.3,0.604651163,0.017268863,76.58
Garnet-19,Garnet,chil,4,3,1,Low,Virgin,3,115,2,,70.45,2.76,1.16,0.420289855,0.01584483,74.37
Garnet-2,Garnet,chil,4,3,1,Low,Sterile,2,118,2,,90.73,2.23,1.22,0.547085202,0.013123924,94.18
Garnet-7,Garnet,chil,4,3,1,High,Sterile,3,145,2,,99.51,2.39,1.35,0.564853556,0.013248283,103.25
Garnet-13,Garnet,chil,4,3,1,High,Hancock,1,157,2,,118.89,29.1,4.34,0.149140893,0.029326306,152.33
Garnet-24,Garnet,chil,4,3,1,High,Virgin,4,163,2,,80.57,42.35,4.34,0.102479339,0.035307517,127.26
Garnet-12,Garnet,chil,4,3,1,Low,Hancock,4,201,3,,81.04,3,0.75,0.25,0.008924322,84.79
Garnet-21,Garnet,chil,4,3,1,High,Virgin,1,221,3,,148.48,28.45,4.08,0.14340949,0.023059967,181.01
Garnet-8,Garnet,chil,4,3,1,High,Sterile,4,223,3,,0,36.58,10.62,0.290322581,0.290322581,47.2
Garnet-23,Garnet,chil,4,3,1,High,Virgin,3,296,4,,135.28,30.64,4.96,0.161879896,0.029893925,170.88
Garnet-14,Garnet,chil,4,3,1,High,Hancock,2,311,4,,166.3,31.14,4.95,0.158959538,0.025070908,202.39
Garnet-20,Garnet,chil,4,3,1,Low,Virgin,4,336,4,,125.37,4.15,2,0.481927711,0.015441631,131.52
Garnet-5,Garnet,chil,4,3,1,High,Sterile,1,348,5,,0,21.53,6.27,0.291221551,0.291221551,27.8
Garnet-6,Garnet,chil,4,3,1,High,Sterile,2,360,5,,100.8,17.05,3.29,0.192961877,0.027916843,121.14
Garnet-4,Garnet,chil,4,3,1,Low,Sterile,4,394,5,,150.91,7.03,1.73,0.246088193,0.010953527,159.67
Garnet-15,Garnet,chil,4,3,1,High,Hancock,3,399,5,,136.16,26.76,5.06,0.189088191,0.031058188,167.98
Snowden,Snowden,elite,6,4,1,High,Sterile,2,1,1,,10.66,20.24,3.74,0.184782609,0.121035599,34.64
Ranger,Ranger,elite,6,4,1,High,Virgin,1,12,1,,181.68,17.66,3.14,0.177802945,0.015751982,202.48
Burbank,Burbank,elite,5,4,1,High,Virgin,3,30,1,,45.98,39.71,9.67,0.243515487,0.11284864,95.36
Ranger,Ranger,elite,6,4,1,High,Hancock,2,35,1,,92.08,23.94,1.89,0.078947368,0.016290295,117.91
Norkodah,Norkodah,elite,6,4,1,High,Hancock,2,39,1,,47.93,10.84,1.06,0.097785978,0.018036413,59.83
Ranger,Ranger,elite,6,4,1,Low,Hancock,1,51,1,,44.27,1.45,0.37,0.255172414,0.008092738,46.09
Norkodah,Norkodah,elite,6,4,1,High,Virgin,2,57,1,,128.8,8.48,0.89,0.10495283,0.0064831,138.17
Ranger,Ranger,elite,6,4,1,High,Sterile,1,63,1,,137.78,21.09,4.13,0.195827406,0.025996097,163
Snowden,Snowden,elite,6,4,1,High,Virgin,1,73,1,,67.48,18.8,8.08,0.429787234,0.093648586,94.36
Norkodah,Norkodah,elite,6,4,1,Low,Sterile,1,79,1,,51.87,0.92,0.56,0.608695652,0.01060807,53.35
Norkodah,Norkodah,elite,6,4,1,High,Sterile,3,86,1,,112.25,7.37,1.28,0.173677069,0.010700552,120.9
Ranger,Ranger,elite,6,4,1,Low,Hancock,3,90,1,,46.76,2.01,0.45,0.223880597,0.009226984,49.22
Burbank,Burbank,elite,5,4,1,Low,Hancock,4,91,1,,84.11,2.6,0.86,0.330769231,0.009918118,87.57
Snowden,Snowden,elite,6,4,1,Low,Virgin,4,94,1,,83.82,2.47,1.86,0.753036437,0.021555221,88.15
Ranger,Ranger,elite,6,4,1,Low,Hancock,4,96,1,,62.21,1.51,0.55,0.364238411,0.008631513,64.27
Snowden,Snowden,elite,6,4,1,Low,Virgin,2,106,2,,48.69,1.8,0.91,0.505555556,0.018023371,51.4
Snowden,Snowden,elite,6,4,1,Low,Virgin,1,107,2,,50.61,1.58,1.53,0.96835443,0.029315961,53.72
Norkodah,Norkodah,elite,6,4,1,Low,Sterile,2,108,2,,56.59,0.57,0.23,0.403508772,0.004023793,57.39
Burbank,Burbank,elite,5,4,1,High,Hancock,4,113,2,,113.55,34.62,5.85,0.16897747,0.039481676,154.02
Burbank,Burbank,elite,5,4,1,High,Virgin,4,114,2,,161.11,29.56,4.78,0.161705007,0.025069492,195.45
Ranger,Ranger,elite,6,4,1,High,Virgin,4,120,2,,193.56,15.96,2.12,0.13283208,0.010118366,211.64
Burbank,Burbank,elite,5,4,1,High,Hancock,1,131,2,,124.32,22.47,7.37,0.327992879,0.05020778,154.16
Burbank,Burbank,elite,5,4,1,High,Virgin,1,132,2,,142.23,22.81,11.09,0.486190267,0.067195831,176.13
Ranger,Ranger,elite,6,4,1,Low,Sterile,3,133,2,,70.37,2.32,2.11,0.909482759,0.029027377,74.8
Ranger,Ranger,elite,6,4,1,High,Virgin,2,136,2,,228.93,20.69,2.17,0.104881585,0.008693214,251.79
Snowden,Snowden,elite,6,4,1,Low,Sterile,3,137,2,,64.75,1.98,1.91,0.964646465,0.028622808,68.64
Burbank,Burbank,elite,5,4,1,Low,Virgin,1,140,2,,60.94,2.93,1.6,0.546075085,0.025050885,65.47
Burbank,Burbank,elite,5,4,1,High,Sterile,3,142,2,,137.02,21.64,7.81,0.36090573,0.049224757,166.47
Ranger,Ranger,elite,6,4,1,Low,Virgin,3,144,2,,39.2,1.81,0.32,0.17679558,0.007802975,41.33
Ranger,Ranger,elite,6,4,1,Low,Sterile,1,152,2,,39.26,1.43,0.42,0.293706294,0.010321946,41.11
Ranger,Ranger,elite,6,4,1,High,Sterile,2,162,2,,198.56,17.79,3.45,0.193929174,0.015946383,219.8
Snowden,Snowden,elite,6,4,1,Low,Hancock,1,165,2,,60.92,3.89,2.31,0.593830334,0.035642648,67.12
Snowden,Snowden,elite,6,4,1,High,Hancock,1,168,2,,123.83,20.12,8.84,0.439363817,0.061410212,152.79
Norkodah,Norkodah,elite,6,4,1,Low,Virgin,4,170,3,,81.82,2.13,0.29,0.136150235,0.003454437,84.24
Norkodah,Norkodah,elite,6,4,1,Low,Virgin,2,173,3,Yellow,82.55,1.7,0.5,0.294117647,0.005934718,84.75
Snowden,Snowden,elite,6,4,1,Low,Sterile,4,183,3,,45.32,1.29,0.57,0.441860465,0.012229135,47.18
Snowden,Snowden,elite,6,4,1,High,Virgin,4,186,3,,149.13,21.17,6.24,0.294756731,0.036641221,176.54
Ranger,Ranger,elite,6,4,1,Low,Virgin,4,195,3,,68.95,1.56,0.66,0.423076923,0.009360374,71.17
Norkodah,Norkodah,elite,6,4,1,High,Virgin,4,197,3,,167,12.56,0.72,0.057324841,0.004009802,180.28
Burbank,Burbank,elite,5,4,1,Low,Sterile,1,198,3,,83.16,2.86,0.72,0.251748252,0.008370146,86.74
Snowden,Snowden,elite,6,4,1,Low,Hancock,3,199,3,,86.77,2.16,1.01,0.467592593,0.011357247,89.94
Norkodah,Norkodah,elite,6,4,1,High,Sterile,2,200,3,,99.19,4,1.07,0.2675,0.010369222,104.26
Snowden,Snowden,elite,6,4,1,Low,Virgin,3,208,3,,56.67,1.58,0.35,0.221518987,0.006008584,58.6
Norkodah,Norkodah,elite,6,4,1,High,Virgin,3,209,3,,0,34.76,3.16,0.090909091,0.090909091,37.92
Norkodah,Norkodah,elite,6,4,1,Low,Hancock,3,213,3,,94.5,2.1,1.23,0.585714286,0.012732919,97.83
Burbank,Burbank,elite,5,4,1,Low,Hancock,1,219,3,,103.03,2.1,0.81,0.385714286,0.007704747,105.94
Snowden,Snowden,elite,6,4,1,Low,Sterile,1,226,3,,60.15,1.29,0.51,0.395348837,0.008300781,61.95
Norkodah,Norkodah,elite,6,4,1,Low,Sterile,3,228,3,,55.9,0.97,0.47,0.484536082,0.008264463,57.34
Ranger,Ranger,elite,6,4,1,Low,Virgin,2,235,3,,40.89,1.25,0.4,0.32,0.009492169,42.54
Snowden,Snowden,elite,6,4,1,Low,Hancock,2,236,3,,67.47,1.21,0.66,0.545454545,0.009609785,69.34
Snowden,Snowden,elite,6,4,1,Low,Sterile,2,237,3,,76.16,1.81,1.37,0.756906077,0.017570861,79.34
Burbank,Burbank,elite,5,4,1,High,Sterile,4,243,3,,191.05,19.27,7.32,0.379865075,0.034804108,217.64
Burbank,Burbank,elite,5,4,1,Low,Virgin,3,246,3,,94.82,2.51,1.44,0.573705179,0.014795027,98.77
Ranger,Ranger,elite,6,4,1,High,Virgin,3,247,3,,180.09,6.86,1.09,0.158892128,0.005830436,188.04
Burbank,Burbank,elite,5,4,1,Low,Sterile,3,248,3,,97.09,2.74,1.31,0.47810219,0.013122308,101.14
Norkodah,Norkodah,elite,6,4,1,Low,Virgin,1,254,3,,62.93,1.63,,0,0,64.56
Snowden,Snowden,elite,6,4,1,High,Hancock,3,258,3,,177,20.9,5.31,0.254066986,0.026831733,203.21
Burbank,Burbank,elite,5,4,1,Low,Sterile,2,261,3,,66.5,2.03,0.49,0.24137931,0.007150153,69.02
Burbank,Burbank,elite,5,4,1,Low,Virgin,4,272,4,,80.51,2.75,0.76,0.276363636,0.009128033,84.02
Snowden,Snowden,elite,6,4,1,High,Sterile,3,275,4,,77.9,21.41,4.79,0.22372723,0.048232806,104.1
Ranger,Ranger,elite,6,4,1,Low,Hancock,2,282,4,,52.94,1.75,52.01,29.72,0.950996526,106.7
Ranger,Ranger,elite,6,4,1,Low,Sterile,4,291,4,,80.36,2.22,0.83,0.373873874,0.01005086,83.41
Ranger,Ranger,elite,6,4,1,High,Hancock,4,298,4,,83.2,7.29,0.43,0.058984911,0.004751906,90.92
Ranger,Ranger,elite,6,4,1,High,Sterile,3,299,4,,118.12,9.64,1.55,0.160788382,0.012132123,129.31
Ranger,Ranger,elite,6,4,1,Low,Sterile,2,302,4,,60.85,1.72,0.76,0.441860465,0.012146396,63.33
Burbank,Burbank,elite,5,4,1,High,Hancock,2,309,4,,174.46,13.58,8.62,0.634756996,0.04584131,196.66
Snowden,Snowden,elite,6,4,1,High,Sterile,1,321,4,,140.02,16.51,9,0.545124167,0.057496965,165.53
Burbank,Burbank,elite,5,4,1,High,Hancock,3,323,4,,102.34,12.35,4.47,0.36194332,0.038974627,119.16
Burbank,Burbank,elite,5,4,1,Low,Hancock,2,331,4,,84.91,2.88,0.71,0.246527778,0.008087481,88.5
Burbank,Burbank,elite,5,4,1,High,Virgin,2,343,5,,156.24,16.51,7.6,0.460327075,0.043994211,180.35
Norkodah,Norkodah,elite,6,4,1,Low,Hancock,4,345,5,,63.84,3.4,0.35,0.102941176,0.005205235,67.59
Burbank,Burbank,elite,5,4,1,High,Sterile,1,347,5,,100.95,13.79,4.11,0.298042059,0.035820115,118.85
Norkodah,Norkodah,elite,6,4,1,Low,Virgin,3,354,5,,81.36,1.92,0.31,0.161458333,0.003722382,83.59
Norkodah,Norkodah,elite,6,4,1,Low,Hancock,2,358,5,,70.77,2.93,0.24,0.081911263,0.003256445,73.94
Norkodah,Norkodah,elite,6,4,1,High,Virgin,1,364,5,,202.1,12.22,0.84,0.068739771,0.003919373,215.16
Norkodah,Norkodah,elite,6,4,1,High,Sterile,4,365,5,,115.09,9.81,0.62,0.063200815,0.004963971,125.52
Snowden,Snowden,elite,6,4,1,High,Virgin,2,366,5,,100.3,29.98,9.91,0.330553702,0.076066933,140.19
Burbank,Burbank,elite,5,4,1,Low,Virgin,2,380,5,,0,2.41,1.27,0.526970954,0.526970954,3.68
Snowden,Snowden,elite,6,4,1,High,Hancock,2,384,5,,55.14,21.88,6.82,0.311700183,0.088548429,83.84
Snowden,Snowden,elite,6,4,1,High,Virgin,3,387,5,,0,24.45,9.52,0.389366053,0.389366053,33.97
Snowden,Snowden,elite,6,4,1,High,Sterile,4,395,5,,85.04,24.69,5.68,0.230052653,0.051763419,115.41
Burbank,Burbank,elite,5,4,1,Low,Sterile,4,403,5,,60.64,3.02,0.27,0.089403974,0.004241282,63.93
Burbank,Burbank,elite,5,4,1,High,Sterile,2,407,5,,162.18,19.75,5.72,0.289620253,0.031440664,187.65
